PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipTIM1XF            : 23                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 23                                              
SOFTWARE VERSION              : $Id: tim1a2tim1b.c 1.12 03/13/12 22:29:12 rl0 $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   : OBDH/IPU                                        
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 508679404.000000 (2016-02-13 23:50:04.00)       
TIME LAST OBS(SEC PAST EPOCH) : 508766994.000000 (2016-02-15 00:09:54.00)       
NUMBER OF DATA RECORDS        : 87591                                           
PRODUCT CREATE START TIME(UTC): 2016-02-15 05:29:24 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2016-02-15 05:29:24 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : TIM1A<-TIM1A_2016-02-14_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TIM1A<-2016-02-15 05:27:43 by rl02              
INPUT FILE NAME               : ILG1A<-ILG1A_2016-02-14_A_02.dat                
INPUT FILE TIME TAG (UTC)     : ILG1A<-2016-02-15 05:27:41 by rl02              
END OF HEADER                                                                   
508679628 A 3 508679628 0 719 719 00000000
508679629 A 3 508679629 0 720 720 00000000
508679630 A 3 508679630 0 721 721 00000000
508679631 A 3 508679631 0 722 722 00000000
508679632 A 3 508679632 0 723 723 00000000
508679633 A 3 508679633 0 724 724 00000000
508679634 A 7 508679634 0 725 725 00000000
508679635 A 3 508679635 0 726 726 00000000
508679636 A 3 508679636 0 727 727 00000000
508679637 A 3 508679637 0 728 728 00000000
508679638 A 3 508679638 0 729 729 00000000
508679639 A 3 508679639 0 730 730 00000000
508679640 A 3 508679640 0 731 731 00000000
508679641 A 3 508679641 0 732 732 00000000
508679642 A 3 508679642 0 733 733 00000000
508679643 A 3 508679643 0 734 734 00000000
508679644 A 7 508679644 0 735 735 00000000
508679645 A 3 508679645 0 736 736 00000000
508679646 A 3 508679646 0 737 737 00000000
508679647 A 3 508679647 0 738 738 00000000
508679648 A 3 508679648 0 739 739 00000000
508679649 A 3 508679649 0 740 740 00000000
508679650 A 3 508679650 0 741 741 00000000
508679651 A 3 508679651 0 742 742 00000000
508679652 A 3 508679652 0 743 743 00000000
508679653 A 3 508679653 0 744 744 00000000
508679654 A 7 508679654 0 745 745 00000000
508679655 A 3 508679655 0 746 746 00000000
508679656 A 3 508679656 0 747 747 00000000
508679657 A 3 508679657 0 748 748 00000000
508679658 A 3 508679658 0 749 749 00000000
508679659 A 3 508679659 0 750 750 00000000
508679660 A 3 508679660 0 751 751 00000000
508679661 A 3 508679661 0 752 752 00000000
508679662 A 3 508679662 0 753 753 00000000
508679663 A 3 508679663 0 754 754 00000000
508679664 A 7 508679664 0 755 755 00000000
508679665 A 3 508679665 0 756 756 00000000
508679666 A 3 508679666 0 757 757 00000000
508679667 A 3 508679667 0 758 758 00000000
508679668 A 3 508679668 0 759 759 00000000
508679669 A 3 508679669 0 760 760 00000000
508679670 A 3 508679670 0 761 761 00000000
508679671 A 3 508679671 0 762 762 00000000
508679672 A 3 508679672 0 763 763 00000000
508679673 A 3 508679673 0 764 764 00000000
508679674 A 7 508679674 0 765 765 00000000
508679675 A 3 508679675 0 766 766 00000000
508679676 A 3 508679676 0 767 767 00000000
508679677 A 3 508679677 0 768 768 00000000
508679678 A 3 508679678 0 769 769 00000000
508679679 A 3 508679679 0 770 770 00000000
508679680 A 3 508679680 0 771 771 00000000
508679681 A 3 508679681 0 772 772 00000000
508679682 A 3 508679682 0 773 773 00000000
508679683 A 3 508679683 0 774 774 00000000
508679684 A 7 508679684 0 775 775 00000000
508679685 A 3 508679685 0 776 776 00000000
508679686 A 3 508679686 0 777 777 00000000
508679687 A 3 508679687 0 778 778 00000000
508679688 A 3 508679688 0 779 779 00000000
508679689 A 3 508679689 0 780 780 00000000
508679690 A 3 508679690 0 781 781 00000000
508679691 A 3 508679691 0 782 782 00000000
508679692 A 3 508679692 0 783 783 00000000
508679693 A 3 508679693 0 784 784 00000000
508679694 A 7 508679694 0 785 785 00000000
508679695 A 3 508679695 0 786 786 00000000
508679696 A 3 508679696 0 787 787 00000000
508679697 A 3 508679697 0 788 788 00000000
508679698 A 3 508679698 0 789 789 00000000
508679699 A 3 508679699 0 790 790 00000000
508679700 A 3 508679700 0 791 791 00000000
508679701 A 3 508679701 0 792 792 00000000
508679702 A 3 508679702 0 793 793 00000000
508679703 A 3 508679703 0 794 794 00000000
508679704 A 7 508679704 0 795 795 00000000
508679705 A 3 508679705 0 796 796 00000000
508679706 A 3 508679706 0 797 797 00000000
508679707 A 3 508679707 0 798 798 00000000
508679708 A 3 508679708 0 799 799 00000000
508679709 A 3 508679709 0 800 800 00000000
508679710 A 3 508679710 0 801 801 00000000
508679711 A 3 508679711 0 802 802 00000000
508679712 A 3 508679712 0 803 803 00000000
508679713 A 3 508679713 0 804 804 00000000
508679714 A 7 508679714 0 805 805 00000000
508679715 A 3 508679715 0 806 806 00000000
508679716 A 3 508679716 0 807 807 00000000
508679717 A 3 508679717 0 808 808 00000000
508679718 A 3 508679718 0 809 809 00000000
508679719 A 3 508679719 0 810 810 00000000
508679720 A 3 508679720 0 811 811 00000000
508679721 A 3 508679721 0 812 812 00000000
508679722 A 3 508679722 0 813 813 00000000
508679723 A 3 508679723 0 814 814 00000000
508679724 A 7 508679724 0 815 815 00000000
508679725 A 3 508679725 0 816 816 00000000
508679726 A 3 508679726 0 817 817 00000000
508679727 A 3 508679727 0 818 818 00000000
508679728 A 3 508679728 0 819 819 00000000
508679729 A 3 508679729 0 820 820 00000000
508679730 A 3 508679730 0 821 821 00000000
508679731 A 3 508679731 0 822 822 00000000
508679732 A 3 508679732 0 823 823 00000000
508679733 A 3 508679733 0 824 824 00000000
508679734 A 7 508679734 0 825 825 00000000
508679735 A 3 508679735 0 826 826 00000000
508679736 A 3 508679736 0 827 827 00000000
508679737 A 3 508679737 0 828 828 00000000
508679738 A 3 508679738 0 829 829 00000000
508679739 A 3 508679739 0 830 830 00000000
508679740 A 3 508679740 0 831 831 00000000
508679741 A 3 508679741 0 832 832 00000000
508679742 A 3 508679742 0 833 833 00000000
508679743 A 3 508679743 0 834 834 00000000
508679744 A 7 508679744 0 835 835 00000000
508679745 A 3 508679745 0 836 836 00000000
508679746 A 3 508679746 0 837 837 00000000
508679747 A 3 508679747 0 838 838 00000000
508679748 A 3 508679748 0 839 839 00000000
508679749 A 3 508679749 0 840 840 00000000
508679750 A 3 508679750 0 841 841 00000000
508679751 A 3 508679751 0 842 842 00000000
508679752 A 3 508679752 0 843 843 00000000
508679753 A 3 508679753 0 844 844 00000000
508679754 A 7 508679754 0 845 845 00000000
508679755 A 3 508679755 0 846 846 00000000
508679756 A 3 508679756 0 847 847 00000000
508679757 A 3 508679757 0 848 848 00000000
508679758 A 3 508679758 0 849 849 00000000
508679759 A 3 508679759 0 850 850 00000000
508679760 A 3 508679760 0 851 851 00000000
508679761 A 3 508679761 0 852 852 00000000
508679762 A 3 508679762 0 853 853 00000000
508679763 A 3 508679763 0 854 854 00000000
508679764 A 7 508679764 0 855 855 00000000
508679765 A 3 508679765 0 856 856 00000000
508679766 A 3 508679766 0 857 857 00000000
508679767 A 3 508679767 0 858 858 00000000
508679768 A 3 508679768 0 859 859 00000000
508679769 A 3 508679769 0 860 860 00000000
508679770 A 3 508679770 0 861 861 00000000
508679771 A 3 508679771 0 862 862 00000000
508679772 A 3 508679772 0 863 863 00000000
508679773 A 3 508679773 0 864 864 00000000
508679774 A 7 508679774 0 865 865 00000000
508679775 A 3 508679775 0 866 866 00000000
508679776 A 3 508679776 0 867 867 00000000
508679777 A 3 508679777 0 868 868 00000000
508679778 A 3 508679778 0 869 869 00000000
508679779 A 3 508679779 0 870 870 00000000
508679780 A 3 508679780 0 871 871 00000000
