PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipCLK1BF            : 17                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 31                                              
SOFTWARE VERSION              : $Id: tdp2clk1b.c   1.37 09/08/11 16:44:07 byu $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   : IPU 1                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 508679700.000000 (2016-02-13 23:55:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 508766700.000000 (2016-02-15 00:05:00.00)       
NUMBER OF DATA RECORDS        : 293                                             
PRODUCT CREATE START TIME(UTC): 2016-02-26 02:44:31 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2016-02-26 02:44:31 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : TDP1A<-TDP1A_2016-02-13_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2016-02-14_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2016-02-15_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : CLK1A<-CLK1A_2016-02-13_A_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2016-02-15 17:28:42 by rl02              
INPUT FILE NAME               : CLK1A<-CLK1A_2016-02-14_A_02.dat                
508698000 A 3 -0.3946962720082406 8.51255570945684e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508698300 A 3 -0.3947434029731325 8.472528018033062e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508698600 A 3 -0.3947905337777677 8.479199299937026e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508698900 A 3 -0.3948376648783465 8.4658567361291e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508699200 A 3 -0.3948847961081273 8.425829044705321e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508699500 A 3 -0.3949319273547672 8.42249340375334e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508699800 A 3 -0.3949790584792024 8.425829044705321e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508700100 A 3 -0.3950261891047743 8.42249340375334e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508700400 A 3 -0.3950733196187281 8.385801353281543e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508700700 A 3 -0.395120450042494 8.362451866617672e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508701000 A 3 -0.3951675806437664 8.399143917089468e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508701300 A 3 -0.3952147116203863 8.425829044705321e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508701600 A 3 -0.395261842959592 8.402479558041451e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508701900 A 3 -0.3953089747563857 8.399143917089468e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508702200 A 3 -0.3953561067074982 8.389136994233525e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508702500 A 3 -0.3954032386359667 8.389136994233525e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508702800 A 3 -0.3954503706093482 8.412486480897395e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508703100 A 3 -0.3954975022626691 8.399143917089468e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508703400 A 3 -0.3955446335288775 8.385801353281543e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508703700 A 3 -0.3955917645530594 8.372458789473617e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508704000 A 3 -0.3956388953613981 8.362451866617672e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508704300 A 3 -0.3956860262449181 8.325759816145876e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508704600 A 3 -0.3957331571976587 8.322424175193894e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508704900 A 3 -0.3957802881644132 8.275725201866153e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508705200 A 3 -0.3958274190326621 8.242368792346338e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508705500 A 3 -0.3958745496072907 8.259046997106245e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508705800 A 3 -0.3959216797878701 8.282396483770117e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508706100 A 3 -0.3959688099404187 8.312417252337949e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508706400 A 3 -0.3960159402314107 8.279060842818134e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508706700 A 3 -0.3960630709772585 8.305745970433987e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508707000 A 3 -0.3961102021837513 8.329095457097857e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508707300 A 3 -0.3961573338216665 8.319088534241912e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508707600 A 3 -0.3962044656372578 8.322424175193894e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508707900 A 3 -0.3962515977015437 8.342438020905783e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508708200 A 3 -0.3962987297035637 8.319088534241912e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508708500 A 3 -0.396345861590168 8.329095457097857e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508708800 A 3 -0.3963929932132677 8.309081611385968e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508709100 A 3 -0.3964401244360208 8.295739047578042e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508709400 A 3 -0.3964872552430586 8.322424175193894e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508709700 A 3 -0.3965343861595669 8.275725201866153e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508710000 A 3 -0.3965815171402339 8.272389560914172e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508710300 A 3 -0.3966286481831394 8.199005459970577e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508710600 A 3 -0.3966757790197804 8.219019305682468e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508710900 A 3 -0.3967229096202366 8.26905391996219e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508711200 A 3 -0.3967700399166282 8.262382638058226e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508711500 A 3 -0.3968171700186708 8.259046997106245e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508711800 A 3 -0.396864300015216 8.285732124722097e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508712100 A 3 -0.3969114303578112 8.29240340662606e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508712400 A 3 -0.3969585612028302 8.322424175193894e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508712700 A 3 -0.3970056924248685 8.279060842818134e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508713000 A 3 -0.3970528238920907 8.282396483770117e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508713300 A 3 -0.3970999552823299 8.285732124722097e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508713600 A 3 -0.3971470866031551 8.305745970433987e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508713900 A 3 -0.3971942178643678 8.289067765674079e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508714200 A 3 -0.3972413489829646 8.265718279010208e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508714500 A 3 -0.3972884798516423 8.255711356154263e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508714800 A 3 -0.3973356102826811 8.195669819018596e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508715100 A 3 -0.3973827405893564 8.178991614258689e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508715400 A 3 -0.3974298709005 8.095600590459151e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508715700 A 3 -0.3974770013116109 8.052237258083391e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508716000 A 3 -0.3975241317137524 7.955503670475926e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508716300 A 3 -0.3975712619207937 7.952168029523945e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508716600 A 3 -0.3976183918986212 8.22569058758643e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508716900 A 3 -0.3976655218241436 8.145635204738873e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508717200 A 3 -0.3977126516361348 8.135628281882928e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508717500 A 3 -0.3977597816284212 8.142299563786891e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508717800 A 3 -0.3978069119942039 8.168984691402745e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508718100 A 3 -0.3978540428140064 8.20234110092256e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508718400 A 3 -0.397901174086693 8.229026228538411e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508718700 A 3 -0.3979483053437348 8.242368792346338e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508719000 A 3 -0.3979954365597179 8.245704433298319e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508719300 A 3 -0.3980425676991505 8.289067765674079e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508719600 A 3 -0.3980896988153602 8.325759816145876e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508719900 A 3 -0.3981368296403167 8.209012382826522e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508720200 A 3 -0.3981839604288775 8.162313409498781e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508720500 A 3 -0.3982310907308768 8.188998537114634e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508720800 A 3 -0.3982782207687208 8.122285718075002e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508721100 A 3 -0.3983253508821127 8.132292640930947e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508721400 A 3 -0.3983724809918294 8.108943154267077e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508721700 A 3 -0.3984196109866349 8.038894694275464e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508722000 A 3 -0.3984667409308387 8.088929308555188e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508722300 A 3 -0.3985138708060064 8.078922385699243e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508722600 A 3 -0.3985610005327695 8.078922385699243e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508722900 A 3 -0.3986081302098273 8.048901617131409e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508723200 A 3 -0.3986552601081105 8.062244180939336e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508723500 A 3 -0.3987023906033192 8.112278795219058e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508723800 A 3 -0.3987495214816895 8.095600590459151e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508724100 A 3 -0.3987966526503774 8.092264949507169e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
508724400 A 3 -0.3988437837394303 8.078922385699243e-11 -1.571009960505784e-07 2.051449372990781e-11  00000000
