PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipSCA1BF            : 6                                               
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 23                                              
SOFTWARE VERSION              : $Id: SCA_compress.c 1.112 06/11/09 17:36:18 g $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:20 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   : IPU 4                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 508680000.000000 (2016-02-14 00:00:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 508766395.000000 (2016-02-14 23:59:55.00)       
NUMBER OF DATA RECORDS        : 17279                                           
PRODUCT CREATE START TIME(UTC): 2016-02-26 02:53:00 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2016-02-26 02:53:01 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : SCA1A<-SCA1A_2016-02-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : SCA1A<-2016-02-15 05:29:37 by rl02              
INPUT FILE NAME               : CLK1B<-CLK1B_2016-02-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2016-02-26 02:50:54 by rl02              
END OF HEADER                                                                   
508680355 B 4 0.02267740766682177 -0.9554073505994151 -0.2723514717737274 -0.1118356178719622 3.595486241238965e-05 00000000
508680360 B 4 0.02346859659186968 -0.9550746513573174 -0.2722889572873688 -0.1146314051561101 4.531414045726256e-05 00000000
508680365 B 4 0.02422246684313472 -0.954706084843325 -0.2723436477842311 -0.1173818605012787 6.365925111356312e-05 00000000
508680370 B 4 0.02496522196450737 -0.954340347847717 -0.272389191331689 -0.1200640104603771 4.87742087267242e-05 00000000
508680375 B 4 0.02570786290894046 -0.953954996856431 -0.2724528437760426 -0.1227942086405095 3.738274268980767e-05 00000000
508680380 B 4 0.02649375059052337 -0.9535850026470704 -0.2724216122491237 -0.1255395917064503 5.305714013106999e-05 00000000
508680385 B 4 0.02727084165179522 -0.9532082697365153 -0.2723786380370506 -0.1282972066827766 5.096547086697461e-05 00000000
508680390 B 4 0.02799170213910023 -0.9528068547158365 -0.2724419973522095 -0.1309615221987334 4.610426064009829e-05 00000000
508680395 B 4 0.02875703487692976 -0.9524024407123187 -0.2724508734906695 -0.1336904835972875 3.045481871970362e-05 00000000
508680400 B 4 0.0295256283878712 -0.9519801895882718 -0.2724672955214923 -0.1364680503670484 4.358244359346035e-05 00000000
508680405 B 4 0.03026839373182543 -0.9515668036184121 -0.2724651237705326 -0.1391660839466355 5.689391831638682e-05 00000000
508680410 B 4 0.03101765329339797 -0.9511387025505585 -0.2725190538042568 -0.1417971756003724 2.837222034874602e-05 01000000
508680415 B 4 0.03181553256497548 -0.9506761262362872 -0.2724947034273548 -0.1447387698441983 3.888680804285993e-05 00000000
508680420 B 4 0.03255680847503965 -0.9502400704549585 -0.2724863625842542 -0.1474281008806588 2.908978722030218e-05 00000000
508680425 B 4 0.03326050016469957 -0.9498292219057126 -0.2725006245316767 -0.1498719385763349 3.644135629195305e-05 01000000
508680430 B 2 0.03400241569735674 -0.949380278293762 -0.2724941343843687 -0.1525380924219152 4.356334431811227e-05 00001000
508680435 B 4 0.03481136378408506 -0.9488915572049108 -0.2724391035216174 -0.1554667697261028 3.212961673667871e-05 00000000
508680440 B 4 0.03553029945753076 -0.9484289650076015 -0.2724183402603848 -0.1581402669937221 2.078232255592878e-05 00000000
508680445 B 4 0.03628131654788311 -0.9479394658417675 -0.2724158102958307 -0.1608852431705366 7.139038059162925e-05 00000000
508680450 B 4 0.03700376415192816 -0.9474573550048854 -0.2724141372455104 -0.1635414923330439 6.712040871874821e-05 00000000
508680455 B 4 0.03775528752482472 -0.9469574542219553 -0.2723919192751671 -0.1662791642719618 8.714282623067632e-05 00000000
508680460 B 4 0.03848867268684684 -0.9464627978573751 -0.2723619046185731 -0.1689549858966511 3.648147061043713e-05 00000000
508680465 B 4 0.03924313699291867 -0.9459699024076287 -0.2723046658935845 -0.1716131955020923 6.0473753807782e-05 00000000
508680470 B 4 0.03995779617546018 -0.9454491469492996 -0.2722945954370538 -0.1743127601566042 0.0001105488475976525 00000000
508680475 B 4 0.04068482792559315 -0.9449579814887035 -0.2722069058423415 -0.1769252904736868 4.860681003074205e-05 00000000
508680480 B 4 0.04142157467660684 -0.9444070479044717 -0.2722038146586809 -0.1796793374457223 7.816305285389767e-05 00000000
508680485 B 4 0.04216311717398741 -0.9438972623898479 -0.2721028226249066 -0.1823191803477671 3.518690870972169e-05 00000000
508680490 B 4 0.04289161783315411 -0.9433327524398831 -0.2721137768294301 -0.185034374518552 3.058562351725547e-05 00000000
508680495 B 4 0.04362601567070318 -0.9428125429317911 -0.2720107313746729 -0.1876471200530526 2.062796296070273e-05 00000000
508680500 B 4 0.0443523267926134 -0.9422491866619694 -0.2719773453906445 -0.1903356638604454 6.368264351408732e-05 00000000
508680505 B 4 0.04509925172868658 -0.9416811538865759 -0.2719231880582553 -0.1930296394458486 7.534107101361516e-05 00000000
508680510 B 4 0.04582874829983963 -0.9410932230332588 -0.2718959892285215 -0.1957443292450299 6.03071981798803e-05 00000000
508680515 B 4 0.04655885167391517 -0.9405030541471938 -0.2718714722510109 -0.1984242451079879 3.821688935760877e-05 00000000
508680520 B 4 0.04729723427388294 -0.9399277903108765 -0.2717851176238816 -0.2010760315640021 3.847244125223107e-05 00000000
508680525 B 4 0.04802980120128191 -0.9393420461673422 -0.2717005454381557 -0.2037362807830867 2.015270351881011e-05 00000000
508680530 B 4 0.04876625743617782 -0.9387038470291474 -0.271700292671591 -0.2064846015336719 5.091719053706725e-05 00000000
508680535 B 4 0.04950739822333949 -0.9381393243945166 -0.2715535703308571 -0.2090509124264228 4.378278693823254e-05 00000000
508680540 B 4 0.05022263928521963 -0.9375115345206191 -0.2715195037651791 -0.2117238017303006 7.12153170207932e-05 00000000
508680545 B 4 0.05094283587377047 -0.9368723805582375 -0.2714877674483772 -0.2144046691333358 2.523583414533054e-05 00000000
508680550 B 4 0.05165782295384472 -0.9362197362692571 -0.2714726686936562 -0.2170867681364667 5.060691180958659e-05 00000000
508680555 B 4 0.05238667167722362 -0.9356119425990074 -0.2713514317106414 -0.2196686823497601 4.002487001682648e-05 00000000
508680560 B 4 0.05312035116631911 -0.934958535124073 -0.2712902653084392 -0.2223338881940651 4.266718995759529e-05 00000000
508680565 B 4 0.05385052006671533 -0.9342885573367634 -0.2712024438704433 -0.2250649851861296 5.443514462880577e-05 00000000
508680570 B 4 0.05455820028345353 -0.9336422115077579 -0.2711152122565977 -0.2276667857984422 1.780993913917069e-05 00000000
508680575 B 4 0.05526600064716002 -0.9329866327039721 -0.2710093881242279 -0.2302944287574126 2.090744711698965e-05 00000000
508680580 B 4 0.05598162313222471 -0.9322917105267023 -0.2709415916610047 -0.2329997387613951 3.846200952423022e-05 00000000
508680585 B 4 0.05670568186335374 -0.9315890314035844 -0.2708633390593119 -0.2357104023300288 3.234459066278997e-05 00000000
508680590 B 4 0.05739946712111402 -0.930898669877091 -0.2708043085961548 -0.238323297310677 4.649656353056998e-05 00000000
508680595 B 4 0.05813638702686635 -0.9301905698274199 -0.2706795340585382 -0.2410357943324078 3.502670001428875e-05 00000000
508680600 B 4 0.05884241979965817 -0.9294871918730239 -0.2705652867023189 -0.2436915168975186 4.850682044519992e-05 00000000
508680605 B 4 0.05956228921276927 -0.9287587523949593 -0.2704647663844491 -0.2463905917402263 2.757755677726135e-05 00000000
508680610 B 4 0.06027972132723389 -0.928043304978498 -0.2703569805001736 -0.2490162291420515 4.581202308661164e-05 00000000
508680615 B 4 0.06099905760422838 -0.9272891535625554 -0.2702776325751909 -0.2517219537231218 2.790233969000843e-05 00000000
508680620 B 4 0.06172200178024623 -0.9265399945616252 -0.2701645719110027 -0.2544113540275429 4.025773633085159e-05 00000000
508680625 B 4 0.06242257402126189 -0.9257972832894648 -0.2700873426143044 -0.2570129177024965 3.199121828134208e-05 00000000
508680630 B 4 0.06314312314441312 -0.9250803494755416 -0.2699012729436326 -0.2596008395155649 8.0795586958846e-05 00000000
508680635 B 4 0.06383173597095051 -0.9243287513333609 -0.2697978011230632 -0.262204148423713 3.083719345423448e-05 00000000
508680640 B 4 0.06458358926497992 -0.9235337594796637 -0.2696736558519984 -0.2649348494223232 6.399224751141886e-05 00000000
508680645 B 4 0.06526950694874288 -0.922741405651301 -0.2695959508512722 -0.2675933725710103 3.620948978872801e-05 00000000
508680650 B 4 0.06599304866515396 -0.9219557752327718 -0.2694642103567886 -0.2702434187535558 4.929432113355152e-05 00000000
508680655 B 4 0.06671937030445062 -0.9211745436812573 -0.269299860664354 -0.272880139889228 4.990431973140891e-05 00000000
508680660 B 4 0.06742205973507259 -0.9203343419458223 -0.2692611893724266 -0.2755673725134685 3.572851150699868e-05 00000000
508680665 B 4 0.0681471795543425 -0.9195528104560702 -0.2690709422619052 -0.2781715634845178 3.361179184607065e-05 00000000
508680670 B 4 0.0688477974465838 -0.9187103161700494 -0.2689741265033319 -0.2808634099010621 3.273106541345707e-05 00000000
508680675 B 4 0.06955650734627403 -0.917857620336879 -0.2688802954878982 -0.2835536417922541 7.552253561875235e-05 00000000
508680680 B 4 0.07027144970063871 -0.9170572754655544 -0.2687021099822141 -0.286124191503919 2.42870203859626e-05 00000000
508680685 B 4 0.07098295604388415 -0.9161869496132329 -0.2686207578595281 -0.2888005916833353 3.316556772691565e-05 00000000
508680690 B 4 0.07167481012353659 -0.9153428840111137 -0.2684866016476524 -0.2914190642694242 4.275519025638641e-05 00000000
508680695 B 4 0.07235644296023105 -0.9144716480509993 -0.2684017809122837 -0.2940520941536495 4.226066597386244e-05 00000000
508680700 B 4 0.0730664471895197 -0.9135876654505021 -0.268257759100775 -0.2967434018037016 9.726250667926863e-05 00000000
508680705 B 4 0.07375131084174044 -0.9126943457850661 -0.2681726321315292 -0.299388067058029 0.0001017736106477204 00000000
508680710 B 4 0.07433942563297125 -0.9118789243579509 -0.2681586108232342 -0.3017307351757517 0.0001042305571191892 01000000
508680715 B 4 0.07498793827070201 -0.9109784813311816 -0.2680948888763022 -0.3043355815934879 0.0001023494563658871 01000000
508680720 B 4 0.07566507403061525 -0.9100876448248827 -0.2679461235917873 -0.3069530096955789 0.0001078519120345977 01000000
508680725 B 4 0.07632950072381676 -0.9091974892410593 -0.2677648035019029 -0.309573485432125 9.896981091711287e-05 01000000
508680730 B 4 0.07696554991021973 -0.9082841119731294 -0.2676501577172739 -0.3121853121755089 5.896811331871027e-05 01000000
508680735 B 2 0.07762757651322455 -0.9073983219966117 -0.2674686707216909 -0.3147423625519585 0.0001166813796084546 00001000
508680740 B 2 0.07828885313753904 -0.9064820488263025 -0.267331348270038 -0.3173249137118008 5.236824137764995e-05 00001000
508680745 B 4 0.07903635980907449 -0.9055167563329105 -0.2670310624399809 -0.3201360172186662 2.940122265086915e-05 01000000
508680750 B 4 0.07975449483774633 -0.904512575484565 -0.2668316150863205 -0.3229506317285676 7.626339608198839e-05 00000000
508680755 B 4 0.08041889929113476 -0.9036174797024223 -0.266596531791684 -0.3254758673844966 4.078829238783411e-05 00000000
508680760 B 4 0.08107025654974548 -0.9026812893176183 -0.2664189041837022 -0.3280473607764529 2.143922292144454e-05 00000000
508680765 B 4 0.08178785302334762 -0.9016828847153925 -0.2662597486338251 -0.3307332290027899 6.998445288200593e-05 00000000
508680770 B 4 0.08247520850306006 -0.9006566888374806 -0.2661071176001374 -0.3334701947659331 6.493140769850929e-05 00000000
508680775 B 4 0.08311637895303232 -0.8996933585710483 -0.2659841639702863 -0.3359999294790267 3.153013450698666e-05 00000000
508680780 B 4 0.08382771732983639 -0.8987355185061399 -0.2657434534887075 -0.3385672732422086 8.313271659716686e-05 00000000
508680785 B 4 0.08453213787923645 -0.8977548605717415 -0.2655305442633238 -0.341151078041096 6.885535931314669e-05 00000000
508680790 B 4 0.08520135601867448 -0.8967654267505953 -0.2653590834694893 -0.3437107143189376 2.848432452823166e-05 00000000
