PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipMAS1XF            : 22                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 25                                              
SOFTWARE VERSION              : $Id: TimeCorrHK.c  1.26 06/11/09 17:36:26 glk $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   :  GRACE_MASCOM_properties.txt 1.61 03/08/10      
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 508680006.986851 (2016-02-14 00:00: 6.98)       
TIME LAST OBS(SEC PAST EPOCH) : 508766392.685666 (2016-02-14 23:59:52.68)       
NUMBER OF DATA RECORDS        : 2499                                            
PRODUCT CREATE START TIME(UTC): 2016-02-26 02:52:59 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2016-02-26 02:53:00 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : MAS1A<-MAS1A_2016-02-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : MAS1A<-2016-02-15 17:30:07 by rl02              
INPUT FILE NAME               : TIM1B<-TIM1B_2016-02-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TIM1B<-2016-02-15 05:31:31 by rl02              
INPUT FILE NAME               : CLK1B<-CLK1B_2016-02-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2016-02-26 02:50:54 by rl02              
END OF HEADER                                                                   
508686731 686759 G B  00000000 00110011 462.6566523092052 2.912525482713097 3.54298777361283 3.867264535592347
508686738 686759 G B  00000000 00110011 462.6566479846055 2.912526847066392 3.542985449571705 3.8672625350338
508686746 686759 G B  00000000 00110011 462.6566436600052 2.912528211419686 3.542983125530176 3.867260534474993
508686756 686759 G B  00000000 00110011 462.6566350108025 5.625061880252553 3.542978477445904 3.867256533356592
508686786 986758 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508686792 686758 G B  00000000 00110011 462.6566306862002 2.912532304479571 3.54297615340316 3.867254532796999
508686822 686758 G B  00000000 00110011 462.6566263615971 2.912533668832867 3.542973829360011 3.867252532237142
508686846 986758 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508686886 686757 G B  00000000 00110011 462.6566220369935 2.912535033186161 3.542971505316459 3.867250531677025
508686906 986757 G B  00000000 11001100 462.7056132505775 0 3.526375512667799 3.932837737909733
508686966 986756 G B  00000000 11001100 462.7098634334334 0 3.528111429612357 3.935352003821076
508686969 686756 G B  00000000 00110011 462.6566177123892 2.912536397539457 3.5429691812725 3.867248531116644
508687026 986755 G B  00000000 11001100 462.7051367599814 0 3.525899022071684 3.932837737909733
508687086 986754 G B  00000000 11001100 462.7073491675221 0 3.528111429612357 3.932837737909733
508687146 986753 G B  00000000 11001100 462.7090854233084 0 3.529847685398665 3.932837737909733
508687206 986753 G B  00000000 11001100 462.7090854233084 0 3.529847685398665 3.932837737909733
508687211 686752 G B  00000000 00110011 462.6566333472689 1.048615188551885 3.542977631749821 3.86725571551909
508687266 986752 G B  00000000 11001100 462.7068719917406 0 3.527634253830867 3.932837737909733
508687326 986751 G B  00000000 11001100 462.7110444767121 0 3.529847685398665 3.934796791313409
508687359 686750 G B  00000000 00110011 462.6566489821573 1.048615613598051 3.542986082231756 3.867262899925507
508687386 986750 G B  00000000 11001100 462.7088310451443 0 3.527634253830867 3.934796791313409
508687446 986749 G B  00000000 11001100 462.7088310451443 0 3.527634253830867 3.934796791313409
