PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipTIM1XF            : 23                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 23                                              
SOFTWARE VERSION              : $Id: tim1a2tim1b.c 1.12 03/13/12 22:29:12 rl0 $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   : OBDH/IPU                                        
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 443015404.000000 (2014-01-14 23:50:04.00)       
TIME LAST OBS(SEC PAST EPOCH) : 443102994.000000 (2014-01-16 00:09:54.00)       
NUMBER OF DATA RECORDS        : 87591                                           
PRODUCT CREATE START TIME(UTC): 2014-01-16 04:32:30 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2014-01-16 04:32:30 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : TIM1A<-TIM1A_2014-01-15_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TIM1A<-2014-01-16 04:30:48 by rl02              
INPUT FILE NAME               : ILG1A<-ILG1A_2014-01-15_B_02.dat                
INPUT FILE TIME TAG (UTC)     : ILG1A<-2014-01-16 02:01:03 by rl02              
END OF HEADER                                                                   
443015579 B 3 443015579 0 35967 35967 00000000
443015580 B 3 443015580 0 35968 35968 00000000
443015581 B 3 443015581 0 35969 35969 00000000
443015582 B 3 443015582 0 35970 35970 00000000
443015583 B 3 443015583 0 35971 35971 00000000
443015584 B 7 443015584 0 35972 35972 00000000
443015585 B 3 443015585 0 35973 35973 00000000
443015586 B 3 443015586 0 35974 35974 00000000
443015587 B 3 443015587 0 35975 35975 00000000
443015588 B 3 443015588 0 35976 35976 00000000
443015589 B 3 443015589 0 35977 35977 00000000
443015590 B 3 443015590 0 35978 35978 00000000
443015591 B 3 443015591 0 35979 35979 00000000
443015592 B 3 443015592 0 35980 35980 00000000
443015593 B 3 443015593 0 35981 35981 00000000
443015594 B 7 443015594 0 35982 35982 00000000
443015595 B 3 443015595 0 35983 35983 00000000
443015596 B 3 443015596 0 35984 35984 00000000
443015597 B 3 443015597 0 35985 35985 00000000
443015598 B 3 443015598 0 35986 35986 00000000
443015599 B 3 443015599 0 35987 35987 00000000
443015600 B 3 443015600 0 35988 35988 00000000
443015601 B 3 443015601 0 35989 35989 00000000
443015602 B 3 443015602 0 35990 35990 00000000
443015603 B 3 443015603 0 35991 35991 00000000
443015604 B 7 443015604 0 35992 35992 00000000
443015605 B 3 443015605 0 35993 35993 00000000
443015606 B 3 443015606 0 35994 35994 00000000
443015607 B 3 443015607 0 35995 35995 00000000
443015608 B 3 443015608 0 35996 35996 00000000
443015609 B 3 443015609 0 35997 35997 00000000
443015610 B 3 443015610 0 35998 35998 00000000
443015611 B 3 443015611 0 35999 35999 00000000
443015612 B 3 443015612 0 36000 36000 00000000
443015613 B 3 443015613 0 36001 36001 00000000
443015614 B 7 443015614 0 36002 36002 00000000
443015615 B 3 443015615 0 36003 36003 00000000
443015616 B 3 443015616 0 36004 36004 00000000
443015617 B 3 443015617 0 36005 36005 00000000
443015618 B 3 443015618 0 36006 36006 00000000
443015619 B 3 443015619 0 36007 36007 00000000
443015620 B 3 443015620 0 36008 36008 00000000
443015621 B 3 443015621 0 36009 36009 00000000
443015622 B 3 443015622 0 36010 36010 00000000
443015623 B 3 443015623 0 36011 36011 00000000
443015624 B 7 443015624 0 36012 36012 00000000
443015625 B 3 443015625 0 36013 36013 00000000
443015626 B 3 443015626 0 36014 36014 00000000
443015627 B 3 443015627 0 36015 36015 00000000
443015628 B 3 443015628 0 36016 36016 00000000
443015629 B 3 443015629 0 36017 36017 00000000
443015630 B 3 443015630 0 36018 36018 00000000
443015631 B 3 443015631 0 36019 36019 00000000
443015632 B 3 443015632 0 36020 36020 00000000
443015633 B 3 443015633 0 36021 36021 00000000
443015634 B 7 443015634 0 36022 36022 00000000
443015635 B 3 443015635 0 36023 36023 00000000
443015636 B 3 443015636 0 36024 36024 00000000
443015637 B 3 443015637 0 36025 36025 00000000
443015638 B 3 443015638 0 36026 36026 00000000
443015639 B 3 443015639 0 36027 36027 00000000
443015640 B 3 443015640 0 36028 36028 00000000
443015641 B 3 443015641 0 36029 36029 00000000
443015642 B 3 443015642 0 36030 36030 00000000
443015643 B 3 443015643 0 36031 36031 00000000
443015644 B 7 443015644 0 36032 36032 00000000
443015645 B 3 443015645 0 36033 36033 00000000
443015646 B 3 443015646 0 36034 36034 00000000
