PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipMAS1XF            : 22                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 25                                              
SOFTWARE VERSION              : $Id: TimeCorrHK.c  1.26 06/11/09 17:36:26 glk $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   :  GRACE_MASCOM_properties.txt 1.61 03/08/10      
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 443016017.460885 (2014-01-15 00:00:17.46)       
TIME LAST OBS(SEC PAST EPOCH) : 443102360.986026 (2014-01-15 23:59:20.98)       
NUMBER OF DATA RECORDS        : 2699                                            
PRODUCT CREATE START TIME(UTC): 2014-01-24 08:25:11 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2014-01-24 08:25:11 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : MAS1A<-MAS1A_2014-01-15_A_02.dat                
INPUT FILE TIME TAG (UTC)     : MAS1A<-2014-01-16 04:32:29 by rl02              
INPUT FILE NAME               : TIM1B<-TIM1B_2014-01-15_A_02.dat                
INPUT FILE TIME TAG (UTC)     : TIM1B<-2014-01-16 04:32:29 by rl02              
INPUT FILE NAME               : CLK1B<-CLK1B_2014-01-15_A_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2014-01-24 08:23:15 by rl02              
END OF HEADER                                                                   
443018360 160492 G A  00000000 00110011 464.3773433874256 8.567857506385689 4.350857531048089 4.756185856377452
443018417 460483 G A  00000000 11001100 465.2390217976426 0 4.895672942351947 5.073048855290587
443018464 160475 G A  00000000 00110011 464.3773291739318 9.396091940260543 4.350850673518334 4.756178500413426
443018477 160473 G A  00000000 00110011 464.3772962886417 21.47676043287818 4.350834807480937 4.756161481160762
443018477 460473 G A  00000000 11001100 465.2390217976426 0 4.895672942351947 5.073048855290587
443018532 160463 G A  00000000 00110011 464.3772773519909 12.45201608882528 4.350825671190392 4.756151680800468
443018533 160463 G A  00000000 00110011 464.3772565172433 13.68010900300293 4.350815619133852 4.756140898109448
443018537 460463 G A  00000000 11001100 465.2390217976426 0 4.895672942351947 5.073048855290587
443018597 460452 G A  00000000 11001100 465.2390217976426 0 4.895672942351947 5.073048855290587
443018657 460442 G A  00000000 11001100 465.2338751556948 0 4.893147652609 5.070427503085772
443018669 160440 G A  00000000 00110011 464.3772511514772 6.86341385147791 4.350811586966377 4.756139564510792
443018688 160437 G A  00000000 00110011 464.3772452400423 7.541059776264872 4.350807144747306 4.756138095294959
443018715 160433 G A  00000000 00110011 464.3772387374668 8.275178601498332 4.350802258305522 4.756136479161204
443018716 160433 G A  00000000 00110011 464.3772315982789 9.065771013883486 4.350796893469863 4.756134704808981
443018717 460432 G A  00000000 11001100 465.2422680485865 0 4.898919193295946 5.073048855290587
443018728 160431 G A  00000000 00110011 464.3771660346293 1.339217976289287 4.350770370824272 4.756095663805076
443018760 160425 G A  00000000 00110011 464.3771581678851 9.96930788265194 4.35076445925259 4.756093708632505
443018777 460422 G A  00000000 11001100 465.2397409656022 0 4.896392110311522 5.073048855290587
443018838 28 G A  00000000 11001100 465.2397409656022 0 4.896392110311522 5.073048855290587
443018898 18 G A  00000000 11001100 465.2397409656022 0 4.896392110311522 5.073048855290587
443018958 8 G A  00000000 11001100 465.2397409656022 0 4.896392110311522 5.073048855290587
443019017 999998 G A  00000000 11001100 465.2463900867981 0 4.899639987079241 5.076450099718866
443019027 699996 G A  00000000 00110011 464.3771507710665 5.338050417572473 4.350757000649804 4.756093770416689
443019030 699996 G A  00000000 00110011 464.3769327108835 11.7183111723093 4.350677815532557 4.755954895350899
443019036 699995 G A  00000000 00110011 464.3766908417337 7.736634001619727 4.350593500938667 4.755797340795014
443019039 699994 G A  00000000 00110011 464.3764244872299 4.828118946152673 4.350485751817451 4.755638735412401
443019045 699993 G A  00000000 00110011 464.3763269602625 1.89460588989322 4.350446298965497 4.755580661297
443019048 699993 G A  00000000 00110011 464.3762245158298 1.980050782607469 4.350404856838236 4.755519658991507
443019080 999987 G A  00000000 11001100 465.2403674901651 0 4.899639987079241 5.070427503085772
443019140 999977 G A  00000000 11001100 465.2378393333208 0 4.89711183023504 5.070427503085772
443019200 999967 G A  00000000 11001100 465.2345932522319 0 4.893865749146097 5.070427503085772
443019204 699966 G A  00000000 00110011 464.3762897542614 1.654095955616967 4.350430553580236 4.755559200681181
443019209 699966 G A  00000000 00110011 464.3763582546981 1.726802570598795 4.350457535192557 4.755600719505524
443019214 699965 G A  00000000 00110011 464.3764306695383 1.814050462590677 4.350486058648301 4.755644610890013
443019219 699964 G A  00000000 00110011 464.3766694434718 5.52202630736444 4.350580109231301 4.755789334240451
443019225 699963 G A  00000000 00110011 464.3767568636961 2.148504394543127 4.350614543154715 4.755842320541345
443019227 699963 G A  00000000 00110011 464.3768488507988 2.250295214437128 4.350650775925028 4.755898074873724
443019230 699962 G A  00000000 00110011 464.3769454048028 2.35208653045584 4.350688807551371 4.755956597251395
443019239 699961 G A  00000000 00110011 464.3770471781259 2.468419543295119 4.350728895014497 4.756018283111396
443019257 699958 G A  00000000 00110011 464.3771535184022 2.570211978973355 4.3507707813543 4.756082737047874
443019260 999957 G A  00000000 11001100 465.2429888423699 0 4.899639987079241 5.073048855290587
443019320 999947 G A  00000000 11001100 465.2397409656022 0 4.896392110311522 5.073048855290587
443019380 999937 G A  00000000 11001100 465.2397409656022 0 4.896392110311522 5.073048855290587
443019440 999927 G A  00000000 11001100 465.2372146044367 0 4.893865749146097 5.073048855290587
443019500 999917 G A  00000000 11001100 465.2404606855256 0 4.89711183023504 5.073048855290587
443019560 999907 G A  00000000 11001100 465.2404606855256 0 4.89711183023504 5.073048855290587
443019576 699904 G A  00000000 00110011 464.3770461564835 2.065496052630682 4.350727349943493 4.756018806539971
443019577 699904 G A  00000000 00110011 464.3769338770573 2.150941717788476 4.350681929240495 4.755951947816766
443019592 699901 G A  00000000 00110011 464.3768158605413 2.250628293771217 4.350634187697515 4.755881672843729
443019597 699901 G A  00000000 00110011 464.3766921069078 2.350315376958874 4.350584125303471 4.755807981604311
443019615 699898 G A  00000000 00110011 464.3765617965653 2.464243543120755 4.350531410506862 4.755730386058436
443019620 999897 G A  00000000 11001100 465.2404606855256 0 4.89711183023504 5.073048855290587
443019680 999887 G A  00000000 11001100 465.2404606855256 0 4.89711183023504 5.073048855290587
443019740 999877 G A  00000000 11001100 465.2378393333208 0 4.89711183023504 5.070427503085772
443019800 999867 G A  00000000 11001100 465.2378393333208 0 4.89711183023504 5.070427503085772
443019860 999856 G A  00000000 11001100 465.2404606855256 0 4.89711183023504 5.073048855290587
443019920 999846 G A  00000000 11001100 465.2404606855256 0 4.89711183023504 5.073048855290587
443019928 699845 G A  00000000 00110011 464.3766446507883 2.046732237179559 4.350564045932756 4.755780604855539
443019959 699840 G A  00000000 00110011 464.3767294623271 2.090358618884113 4.350597452325791 4.755832010001325
443019980 999836 G A  00000000 11001100 465.2438619299539 0 4.89711183023504 5.076450099718866
443020040 999826 G A  00000000 11001100 465.2378393333208 0 4.89711183023504 5.070427503085772
443020073 699821 G A  00000000 00110011 464.3768155787928 2.119443931093899 4.350631372716713 4.755884206076137
443020100 999816 G A  00000000 11001100 465.2410888380426 0 4.900361334956866 5.070427503085772
443020160 999806 G A  00000000 11001100 465.2378393333208 0 4.89711183023504 5.070427503085772
443020220 999796 G A  00000000 11001100 465.2378393333208 0 4.89711183023504 5.070427503085772
443020280 999786 G A  00000000 11001100 465.2412386451593 0 4.89711183023504 5.073826814924209
443020340 999776 G A  00000000 11001100 465.2378393333208 0 4.89711183023504 5.070427503085772
443020400 999766 G A  00000000 11001100 465.2412386451593 0 4.89711183023504 5.073826814924209
443020460 999756 G A  00000000 11001100 465.2404606855256 0 4.89711183023504 5.073048855290587
443020520 999746 G A  00000000 11001100 465.2371196133973 0 4.896392110311522 5.070427503085772
443020580 999736 G A  00000000 11001100 465.2404606855256 0 4.89711183023504 5.073048855290587
443020609 699731 G A  00000000 00110011 464.3769038922421 2.360313809080973 4.350662289812171 4.755941602429878
443020640 999726 G A  00000000 11001100 465.2397409656022 0 4.896392110311522 5.073048855290587
443020668 699721 G A  00000000 00110011 464.3769015496615 0.3990767415236997 4.350664915800885 4.755936633860574
443020669 699721 G A  00000000 00110011 464.3768991289937 0.4057127875535189 4.35066762932487 4.755931499668761
443020700 999716 G A  00000000 11001100 465.2397409656022 0 4.896392110311522 5.073048855290587
443020760 999706 G A  00000000 11001100 465.2397409656022 0 4.896392110311522 5.073048855290587
443020762 699705 G A  00000000 00110011 464.3768970102041 1.57086022624729 4.350666607081122 4.755930403122911
443020773 699703 G A  00000000 00110011 464.376894670707 1.713658612290715 4.350665478353558 4.755929192353407
443020788 699701 G A  00000000 00110011 464.3768011328747 3.628708357138279 4.350631129041967 4.755870003832692
443020790 699701 G A  00000000 00110011 464.3768517232734 5.73572093111401 4.350642658042386 4.755909065231046
443020797 699699 G A  00000000 00110011 464.3768485278804 2.631470282562662 4.350637096809613 4.755911431070791
443020804 699698 G A  00000000 00110011 464.3768449873443 2.866523526003651 4.35063123939056 4.7559137479537
443020812 699697 G A  00000000 00110011 464.3768408380442 2.884608825163875 4.350629237495002 4.755911600549227
443020813 699697 G A  00000000 00110011 464.3768362473285 3.17020722527213 4.350627022631477 4.755909224696974
443020820 999696 G A  00000000 11001100 465.2422680485865 0 4.898919193295946 5.073048855290587
443020826 699695 G A  00000000 00110011 464.3768314708288 3.666199631999863 4.350620568899216 4.75591090192962
443020837 699693 G A  00000000 00110011 464.3768317344504 0.416968467715142 4.3506164171862 4.755915317264169
443020848 699691 G A  00000000 00110011 464.3768261726193 3.798525091471038 4.350613733792867 4.755912438826398
443020854 699690 G A  00000000 00110011 464.3768264442303 0.423543455955147 4.350609456267228 4.755916987963019
443020856 699690 G A  00000000 00110011 464.3768767307135 5.615339586731751 4.35062433951942 4.755952391194088
443020858 699689 G A  00000000 00110011 464.3768201808023 1.182598270342398 4.350601463230798 4.755918717571499
443020866 699688 G A  00000000 00110011 464.3767636308476 1.182599056155159 4.350578586924734 4.755885043922875
443020874 699687 G A  00000000 00110011 464.3767572009351 4.771203536398556 4.350570946472062 4.755886254463023
443020880 999685 G A  00000000 11001100 465.2388704885209 0 4.898919193295946 5.069651295224919
443020940 999675 G A  00000000 11001100 465.2356242375769 0 4.895672942351947 5.069651295224919
443021000 999665 G A  00000000 11001100 465.2390217976426 0 4.895672942351947 5.073048855290587
443021033 699660 G A  00000000 00110011 464.3767554729813 2.345864703740819 4.350569647976102 4.755885825005178
443021036 699659 G A  00000000 00110011 464.3767535631379 2.571746307149524 4.350568212796287 4.755885350341558
443021043 699658 G A  00000000 00110011 464.3767466513257 8.783477341553059 4.350563018811587 4.755883632514077
