PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipSCA1BF            : 6                                               
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 23                                              
SOFTWARE VERSION              : $Id: SCA_compress.c 1.112 06/11/09 17:36:18 g $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:20 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE A                                         
SENSOR NAME                   : IPU 4                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 443016000.000000 (2014-01-15 00:00:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 443102395.000000 (2014-01-15 23:59:55.00)       
NUMBER OF DATA RECORDS        : 17189                                           
PRODUCT CREATE START TIME(UTC): 2014-01-24 08:25:13 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2014-01-24 08:25:14 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : SCA1A<-SCA1A_2014-01-15_A_02.dat                
INPUT FILE TIME TAG (UTC)     : SCA1A<-2014-01-16 04:30:43 by rl02              
INPUT FILE NAME               : CLK1B<-CLK1B_2014-01-15_A_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1B<-2014-01-24 08:23:15 by rl02              
END OF HEADER                                                                   
443016555 A 2 0.3581177940127475 -0.1142170123907391 0.03653461391005516 0.9259434873027729 0.0001428686662155217 00001000
443016560 A 4 0.358075595317964 -0.1117591918561105 0.0355769827832982 0.9262969444888567 0.0001161594248352779 01000000
443016565 A 4 0.3581685822697779 -0.1091711898087981 0.03456108908864945 0.9266080342364809 4.325385967773642e-05 00000000
443016570 A 4 0.3582404900653802 -0.1064857310268253 0.03352903134351363 0.926930603887133 6.469662796969917e-05 01000000
443016575 A 2 0.3583481047377316 -0.1038383673828549 0.03252443469585701 0.9272251023553311 0.0001415404108568079 00001000
443016580 A 2 0.3584777813180229 -0.1011846314796916 0.03148626146406094 0.9275041595554403 9.206008502356207e-05 00001000
443016585 A 2 0.3584918890873813 -0.09860056825088721 0.03049519654160323 0.9278100756011718 6.036527054183767e-05 00001000
443016590 A 2 0.3586050957419908 -0.09594572616809639 0.0294912719174394 0.9280770807528037 8.538202695372444e-05 00001000
443016595 A 4 0.3586118909014452 -0.09345795513158911 0.02851270417300907 0.9283588465822116 8.501508442007592e-05 01000000
443016600 A 4 0.3585440751237822 -0.09094967673669399 0.02753889778603108 0.9286635082761965 2.45085294347057e-05 00000000
443016605 A 4 0.3585881721868394 -0.08835907296706721 0.02655304494600019 0.9289252568405049 2.896264980203697e-05 00000000
443016610 A 4 0.35864989766081 -0.08575462019620979 0.0255505943252982 0.9291735915061935 2.6558560392523e-05 00000000
443016615 A 4 0.3586484614792293 -0.08314176169600504 0.02455351077794937 0.9294384614643103 0.0001013544449129563 01000000
443016620 A 4 0.3587003050863309 -0.08056168056972877 0.02355010580653168 0.9296716082957766 2.807446779255441e-05 00000000
443016625 A 2 0.3586887133922524 -0.0780230643606188 0.02258823824255438 0.9299164370016734 5.297900878380108e-05 00001000
443016630 A 2 0.3587305573586547 -0.07538620791638927 0.02159137642432419 0.9301414512520335 6.050092112047814e-05 00001000
443016635 A 4 0.3587574079935889 -0.07278378932070716 0.02056514926912151 0.9303616054295121 9.792916335548967e-06 00000000
443016640 A 4 0.35877662128412 -0.07017048832068873 0.01955853354999483 0.9305766504453898 3.378166032083893e-05 00000000
443016645 A 4 0.3587667750293689 -0.06756414890678275 0.01855738251963864 0.930793806635792 3.409673842011467e-05 00000000
443016650 A 4 0.3588303911705173 -0.06501299677413118 0.0175783915325895 0.9309699569663821 6.303786212600416e-05 00000000
443016655 A 4 0.3588566057012464 -0.06237222355332845 0.01656119063987178 0.9311591535490501 2.207803410524963e-05 00000000
443016660 A 4 0.358885820151829 -0.05976986506990163 0.01554411798325748 0.9313360895614418 2.658136525380886e-05 00000000
443016665 A 4 0.3588829895012264 -0.05720096593840408 0.01455868275610607 0.9315144089592947 4.763702608240138e-05 00000000
443016670 A 4 0.3588987571763121 -0.05460569720397873 0.0135761246404037 0.931678908621374 5.909232282441607e-05 00000000
443016675 A 4 0.3588741496859917 -0.05195204386178672 0.01255198235087101 0.9318544830416403 1.071899803591976e-05 00000000
443016680 A 4 0.3589306635818766 -0.04940248637109044 0.01155152212769063 0.9319842999844804 2.791812627883682e-05 00000000
443016685 A 4 0.3588834061769722 -0.04682170693872031 0.01058024505771433 0.9321472453130342 2.752804049553742e-05 00000000
443016690 A 4 0.3589336933617627 -0.04420317681518824 0.009561560049374774 0.9322667319488303 2.446448693202843e-05 00000000
443016695 A 4 0.3589378812329099 -0.0415130741539386 0.00852299272517338 0.932398852790653 5.03261406506345e-05 00000000
