PRODUCER AGENCY               : NASA                                            
443016230 -380493.6859614332 -1.757166780456557 0.0005486612867791169 -444293.2086922423 -0.0008334636478563752 2.361444412134406e-07 1.324304237539344e-09 2.889499648385661 -3.894950040176615e-08 -7.850507534513995e-08 675 664 659 688  00000100
443016235 -380502.4648703755 -1.7543836053562 0.0005644895193799096 -444293.2087075624 -0.0008322664107726842 2.427455581755678e-07 1.320821473032248e-09 2.889497915259392 -5.06955809810014e-07 7.885261198068653e-08 676 665 659 688  00000000
443016240 -380511.2296668773 -1.751521712933587 0.0005804275525897588 -444293.2087212987 -0.0008310360332714596 2.494337732820301e-07 1.350460811375144e-09 2.889497396115683 1.726180129820799e-07 -6.405054770531509e-08 676 665 662 693  00000000
443016245 -380519.979952673 -1.748579319451192 0.0005963653791993483 -444293.2087317551 -0.000829772093714216 2.561097935947162e-07 1.316123303691457e-09 2.889496013664653 -5.964680375381729e-07 6.816617571129922e-08 680 670 662 693  00000000
443016250 -380528.7153298776 -1.745558447653302 0.0006121244332010536 -444293.208736669 -0.0008284751298029433 2.626771973402512e-07 1.315503276300754e-09 2.889495147321075 6.221893090351686e-08 -1.070097174556751e-07 680 670 664 696  00000000
443016255 -380537.4354027177 -1.742457196114498 0.0006282763374392668 -444293.2087392699 -0.0008271453083914228 2.692475649045532e-07 1.311673445433497e-09 2.889493595205527 -3.749056672104801e-07 1.809052606876976e-07 686 675 664 696  00000000
443016260 -380546.1397702848 -1.739276807859123 0.0006439475668281169 -444293.2087382112 -0.0008257826853289037 2.757999030028724e-07 1.309394874048121e-09 2.889493237637692 -3.3823381801239e-07 -3.799602075379368e-07 686 675 667 702  00000000
443016265 -380554.8280378922 -1.736016887324042 0.0006599305616680811 -444293.2087353839 -0.0008243873290606203 2.823404880341399e-07 1.306876347009256e-09 2.889488430036521 -7.801012579903165e-07 4.179092649963488e-07 682 666 667 702  00000000
443016270 -380563.4998081157 -1.732678089919745 0.0006756811745826405 -444293.2087308839 -0.000822959300239822 2.888691675239554e-07 1.304629143721738e-09 2.889487785049149 -3.775055014446011e-07 -4.709843050853888e-07 682 666 665 693  00000000
443016275 -380572.1546861163 -1.729259956679399 0.0006914608320186047 -444293.2087244528 -0.0008214986552034477 2.953871685324076e-07 1.302614963029853e-09 2.889482001944295 -9.399438771837834e-07 5.84141748903298e-07 671 651 665 693  00000000
