PRODUCER AGENCY               : NASA                                            
PRODUCER INSTITUTION          : JPL                                             
FILE TYPE ipCLK1BF            : 17                                              
FILE FORMAT 0=BINARY 1=ASCII  : 1                                               
NUMBER OF HEADER RECORDS      : 31                                              
SOFTWARE VERSION              : $Id: tdp2clk1b.c   1.37 09/08/11 16:44:07 byu $ 
SOFTWARE LINK TIME            : @(#) 2012-08-31 10:49:22 rl02  g3               
REFERENCE DOCUMENTATION       : GRACE Level 1 Software Handbook                 
SATELLITE NAME                : GRACE B                                         
SENSOR NAME                   : IPU 1                                           
TIME EPOCH (GPS TIME)         : 2000-01-01 12:00:00                             
TIME FIRST OBS(SEC PAST EPOCH): 443015700.000000 (2014-01-14 23:55:00.00)       
TIME LAST OBS(SEC PAST EPOCH) : 443102700.000000 (2014-01-16 00:05:00.00)       
NUMBER OF DATA RECORDS        : 293                                             
PRODUCT CREATE START TIME(UTC): 2014-01-24 08:29:01 by rl02                     
PRODUCT CREATE END TIME(UTC)  : 2014-01-24 08:29:01 by rl02                     
FILESIZE (BYTES)              : Not Determined because output is stdout         
FILENAME                      : Standard_Out                                    
PROCESS LEVEL (1A OR 1B)      : 1B                                              
INPUT FILE NAME               : TDP1A<-TDP1A_2014-01-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2014-01-15_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : TDP1A<-TDP1A_2014-01-16_B_02.dat                
INPUT FILE TIME TAG (UTC)     : TDP1A<-UNKNOWN                                  
INPUT FILE NAME               : CLK1A<-CLK1A_2014-01-14_B_02.dat                
INPUT FILE TIME TAG (UTC)     : CLK1A<-2014-01-16 02:03:36 by rl02              
INPUT FILE NAME               : CLK1A<-CLK1A_2014-01-15_B_02.dat                
443036400 B 4 -0.009053508295714489 8.542576478024674e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443036700 B 4 -0.009058180798327686 8.545912118976655e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443037000 B 4 -0.009062853260226831 8.505884427552878e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443037300 B 4 -0.009067525690818135 8.499213145648915e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443037600 B 4 -0.009072197991596422 8.452514172321174e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443037900 B 4 -0.009076870145971899 8.475863658985044e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443038200 B 4 -0.009081542318967694 8.482534940889006e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443038500 B 4 -0.00908621471757415 8.435835967561266e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443038800 B 4 -0.009090887433701733 8.472528018033062e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443039100 B 4 -0.009095560421645213 8.385801353281543e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443039400 B 4 -0.009100233561998256 8.392472635185506e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443039700 B 4 -0.009104906518212007 8.419157762801357e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443040000 B 4 -0.00910957920699744 8.415822121849377e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443040300 B 4 -0.009114251587432592 8.405815198993432e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443040600 B 4 -0.009118923820614674 8.429164685657302e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443040900 B 4 -0.009123595969927728 8.455849813273155e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443041200 B 4 -0.009128268132762416 8.435835967561266e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443041500 B 4 -0.009132940351689543 8.419157762801357e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443041800 B 4 -0.009137612636420499 8.442507249465229e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443042100 B 4 -0.009142285015919798 8.392472635185506e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443042400 B 4 -0.009146957504008502 8.339102379953802e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443042700 B 4 -0.009151630048295854 8.352444943761728e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443043000 B 4 -0.009156302506492549 8.362451866617672e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443043300 B 4 -0.009160974862270084 8.262382638058226e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443043600 B 4 -0.009165647187520344 8.299074688530023e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443043900 B 4 -0.009170319717994563 8.309081611385968e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443044200 B 4 -0.009174992522905982 8.282396483770117e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443044500 B 4 -0.00917966554424317 8.188998537114634e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443044800 B 4 -0.009184338611966068 8.135628281882928e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443045100 B 4 -0.009189011631904592 8.145635204738873e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443045400 B 4 -0.009193684478223199 8.105607513315096e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443045700 B 4 -0.009198357100219519 8.155642127594819e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443046000 B 4 -0.009203029615504671 8.145635204738873e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443046300 B 4 -0.009207701979453951 8.128956999978966e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443046600 B 4 -0.009212374337048688 8.165649050450762e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443046900 B 4 -0.009217046736849678 8.185662896162651e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443047200 B 4 -0.009221719151901533 8.188998537114634e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443047500 B 4 -0.009226391591572047 8.162313409498781e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443047800 B 4 -0.009231064112896177 8.152306486642836e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
443048100 B 4 -0.009235736727033162 8.168984691402745e-11 -1.557494307959121e-08 2.540803833401996e-11  00000000
